44.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
13:19:44.0 (79613)|USER_INFO|[EXTERNAL]|0055D000001uKtI|nikhil.jaitly@homerepair.com.devtest|Australian Eastern Standard Time|GMT+11:00
13:19:44.0 (112990)|EXECUTION_STARTED
13:19:44.0 (119020)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
13:19:44.0 (684145)|HEAP_ALLOCATE|[72]|Bytes:3
13:19:44.0 (730758)|HEAP_ALLOCATE|[77]|Bytes:152
13:19:44.0 (745410)|HEAP_ALLOCATE|[342]|Bytes:408
13:19:44.0 (758406)|HEAP_ALLOCATE|[355]|Bytes:408
13:19:44.0 (769715)|HEAP_ALLOCATE|[467]|Bytes:48
13:19:44.0 (793461)|HEAP_ALLOCATE|[139]|Bytes:6
13:19:44.0 (813057)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
13:19:44.0 (821904)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
13:19:44.0 (1526005)|CODE_UNIT_STARTED|[EXTERNAL]|01p5D000000PTmx|NJ_ClaimPlannerController.initClaimPlanner(String)
13:19:44.0 (1602683)|VARIABLE_SCOPE_BEGIN|[12]|NJ_ClaimPlannerController.summaryLabelMap|Map<String,NJ_ClaimPlannerController.SummVal>|true|true
13:19:44.0 (1653829)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:28
13:19:44.0 (1660739)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
13:19:44.0 (1664366)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
13:19:44.0 (1739818)|METHOD_ENTRY|[1]|01p5D000000PTmx|NJ_ClaimPlannerController.NJ_ClaimPlannerController()
13:19:44.0 (1746709)|STATEMENT_EXECUTE|[1]
13:19:44.0 (1751249)|STATEMENT_EXECUTE|[1]
13:19:44.0 (1781066)|HEAP_ALLOCATE|[50]|Bytes:5
13:19:44.0 (1804205)|HEAP_ALLOCATE|[56]|Bytes:5
13:19:44.0 (1812283)|HEAP_ALLOCATE|[64]|Bytes:7
13:19:44.0 (1829511)|SYSTEM_MODE_ENTER|false
13:19:44.0 (1842348)|HEAP_ALLOCATE|[12]|Bytes:5
13:19:44.0 (1847146)|STATEMENT_EXECUTE|[2]
13:19:44.0 (1848794)|STATEMENT_EXECUTE|[12]
13:19:44.0 (1861122)|HEAP_ALLOCATE|[12]|Bytes:4
13:19:44.0 (1890541)|HEAP_ALLOCATE|[12]|Bytes:3
13:19:44.0 (1899393)|HEAP_ALLOCATE|[12]|Bytes:1
13:19:44.0 (1905782)|HEAP_ALLOCATE|[12]|Bytes:16
13:19:44.0 (1909620)|HEAP_ALLOCATE|[12]|Bytes:7
13:19:44.0 (1912994)|HEAP_ALLOCATE|[12]|Bytes:18
13:19:44.0 (1926653)|CONSTRUCTOR_ENTRY|[12]|01p5D000000PTmx|<init>(String,String,String)|NJ_ClaimPlannerController.SummVal
13:19:44.0 (1950452)|VARIABLE_SCOPE_BEGIN|[6]|this|NJ_ClaimPlannerController.SummVal|true|false
13:19:44.0 (1985199)|VARIABLE_ASSIGNMENT|[6]|this|{}|0x1c1f29e6
13:19:44.0 (1992057)|VARIABLE_SCOPE_BEGIN|[6]|lbl|String|false|false
13:19:44.0 (2002449)|VARIABLE_ASSIGNMENT|[6]|lbl|"New"
13:19:44.0 (2007323)|VARIABLE_SCOPE_BEGIN|[6]|code|String|false|false
13:19:44.0 (2014752)|VARIABLE_ASSIGNMENT|[6]|code|"#A2D9CE"
13:19:44.0 (2018946)|VARIABLE_SCOPE_BEGIN|[6]|iconName|String|false|false
13:19:44.0 (2026426)|VARIABLE_ASSIGNMENT|[6]|iconName|"action:description"
13:19:44.0 (2031887)|STATEMENT_EXECUTE|[2]
13:19:44.0 (2033638)|STATEMENT_EXECUTE|[3]
13:19:44.0 (2035557)|STATEMENT_EXECUTE|[4]
13:19:44.0 (2037050)|STATEMENT_EXECUTE|[5]
13:19:44.0 (2042482)|HEAP_ALLOCATE|[7]|Bytes:6
13:19:44.0 (2071281)|STATEMENT_EXECUTE|[6]
13:19:44.0 (2073082)|STATEMENT_EXECUTE|[7]
13:19:44.0 (2082788)|VARIABLE_ASSIGNMENT|[7]|this.label|"New"|0x1c1f29e6
13:19:44.0 (2088092)|STATEMENT_EXECUTE|[8]
13:19:44.0 (2092816)|VARIABLE_ASSIGNMENT|[8]|this.colorCode|"#A2D9CE"|0x1c1f29e6
13:19:44.0 (2097437)|STATEMENT_EXECUTE|[9]
13:19:44.0 (2102497)|VARIABLE_ASSIGNMENT|[9]|this.iconName|"action:description"|0x1c1f29e6
13:19:44.0 (2113366)|CONSTRUCTOR_EXIT|[12]|01p5D000000PTmx|<init>(String,String,String)|NJ_ClaimPlannerController.SummVal
13:19:44.0 (2142612)|SYSTEM_METHOD_ENTRY|[12]|Map<String,NJ_ClaimPlannerController.SummVal>.put(Object, Object)
13:19:44.0 (2158326)|SYSTEM_METHOD_EXIT|[12]|Map<String,NJ_ClaimPlannerController.SummVal>.put(Object, Object)
13:19:44.0 (2165478)|HEAP_ALLOCATE|[13]|Bytes:9
13:19:44.0 (2171451)|HEAP_ALLOCATE|[13]|Bytes:16
13:19:44.0 (2174885)|HEAP_ALLOCATE|[13]|Bytes:7
