44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:27:38.0 (87935)|USER_INFO|[EXTERNAL]|005N0000005hvfr|nikhil.jaitly@homerepair.com.uat|Australian Eastern Standard Time|GMT+11:00
13:27:38.0 (122728)|EXECUTION_STARTED
13:27:38.0 (127343)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
13:27:38.0 (720105)|HEAP_ALLOCATE|[72]|Bytes:3
13:27:38.0 (778896)|HEAP_ALLOCATE|[77]|Bytes:152
13:27:38.0 (797160)|HEAP_ALLOCATE|[342]|Bytes:408
13:27:38.0 (810899)|HEAP_ALLOCATE|[355]|Bytes:408
13:27:38.0 (821698)|HEAP_ALLOCATE|[467]|Bytes:48
13:27:38.0 (845998)|HEAP_ALLOCATE|[139]|Bytes:6
13:27:38.0 (865705)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
13:27:38.0 (874558)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
13:27:38.0 (1621233)|CODE_UNIT_STARTED|[EXTERNAL]|01pN0000000s8L1|NJ_ClaimPlannerController.initClaimPlanner(String)
13:27:38.0 (1684298)|VARIABLE_SCOPE_BEGIN|[12]|NJ_ClaimPlannerController.summaryLabelMap|Map<String,NJ_ClaimPlannerController.SummVal>|true|true
13:27:38.0 (1735399)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:28
13:27:38.0 (1743801)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
13:27:38.0 (1747778)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
13:27:38.0 (1823065)|METHOD_ENTRY|[1]|01pN0000000s8L1|NJ_ClaimPlannerController.NJ_ClaimPlannerController()
13:27:38.0 (1831865)|STATEMENT_EXECUTE|[1]
13:27:38.0 (1837542)|STATEMENT_EXECUTE|[1]
13:27:38.0 (1874203)|HEAP_ALLOCATE|[50]|Bytes:5
13:27:38.0 (1900389)|HEAP_ALLOCATE|[56]|Bytes:5
13:27:38.0 (1909373)|HEAP_ALLOCATE|[64]|Bytes:7
13:27:38.0 (1928045)|SYSTEM_MODE_ENTER|false
13:27:38.0 (1942469)|HEAP_ALLOCATE|[12]|Bytes:5
13:27:38.0 (1947572)|STATEMENT_EXECUTE|[2]
13:27:38.0 (1949565)|STATEMENT_EXECUTE|[12]
13:27:38.0 (1963261)|HEAP_ALLOCATE|[12]|Bytes:4
13:27:38.0 (2000833)|HEAP_ALLOCATE|[12]|Bytes:3
13:27:38.0 (2010869)|HEAP_ALLOCATE|[12]|Bytes:1
13:27:38.0 (2017486)|HEAP_ALLOCATE|[12]|Bytes:16
13:27:38.0 (2021546)|HEAP_ALLOCATE|[12]|Bytes:7
13:27:38.0 (2025318)|HEAP_ALLOCATE|[12]|Bytes:18
13:27:38.0 (2039964)|CONSTRUCTOR_ENTRY|[12]|01pN0000000s8L1|<init>(String,String,String)|NJ_ClaimPlannerController.SummVal
13:27:38.0 (2065767)|VARIABLE_SCOPE_BEGIN|[6]|this|NJ_ClaimPlannerController.SummVal|true|false
